Ticker,Company,SICS,ModelID,Firm Efficiency,perform:FCF,value:MarketCap,Market Share,position:TotalAssets,position:IntangibleAssets,position:Goodwill,Intangibles_and_Goodwill
FLMN,Falcon Minerals Corp,10102020,1132982,1,0,112344750,0.000804029,291235000,209168000,0,209168000
RMR,RMR Group Inc,60102010,1098652,1,226676839.9,456679600,0.085671886,504428000,2234000,1859000,4093000
HTLD,Heartland Express  Inc.,20304020,1099006,1,-22090569.65,1545187500,0.003983151,806213000,146904000,132410000,279314000
LOPE,Grand Canyon Education Inc,25302020,1097240,1,-81490925.69,3870215160,0.098060287,1324017000,2941000,2941000,5882000
BSIG,BrightSphere Investment Group Inc,40203010,1139046,1,78281062.2,1377576832,0.005684347,1553700000,346300000,274600000,620900000
IDCC,InterDigital Inc,45201020,1099389,1,146655593.5,2014617420,0.006142337,1626558000,454567000,0,454567000
WD,Walker & Dunlop  Inc.,40101010,1099089,1,0,1719215520,0.421546484,2782057000,847239000,177093000,1024332000
DNRCQ,Denbury Resources Inc.,10102020,1098981,1,310806581.2,8256658900,0.059091285,4723222000,24774000,0,24774000
SC,Santander Consumer USA Holdings Inc,40202010,1097506,1,-7593306000,5936668033,0.035408632,43959855000,109251000,74056000,183307000
ARD,Ardagh Group SA,15103010,1097176,1,-1072513208,3348371000,0.036472097,10314000000,3601000000,0,3601000000
AMG,Affiliated Managers Group  Inc.,40203010,1097933,1,1038176331,3629886000,0.014978135,8219100000,3943300000,2633400000,6576700000
TROW,T. Rowe Price Group Inc,40203010,1097573,1,1453120640,31613076000,0.130446224,7689300000,665700000,665700000,1331400000
RPRX,Royalty Pharma plc,35202010,2191195,1,1128120000,25357361118,0.014970365,11370147000,75648000,0,75648000
PHM,PulteGroup  Inc.,25201030,1097187,1,938329527.6,13519692900,0.129729318,10172976000,127192000,0,127192000
DHI,D. R. Horton Inc,25201030,1097631,1,325148491.8,29728836000,0.285265475,14114600000,109200000,109200000,218400000
MRO,Marathon Oil Corporation,10102020,1097318,1,618927824.5,3345650000,0.02394416,21321000000,97000000,97000000,194000000
TJX,TJX Companies Inc,25503020,1381852,1,1933697155,73759346800,0.174334052,14058015000,100069000,100069000,200138000
CXO,Concho Resources Inc,10102020,1097642,1,535710976,7252395150,0.051903967,26294000000,2243000000,2224000000,4467000000
CARR,Carrier Global Corp,20104010,2191217,1,2432621811,26653695249,0.083691591,21737000000,11063000000,9849000000,20912000000
LSXMA,Liberty Sirius XM Group,50201020,1139144,1,1855909207,11652480000,0.01707541,28292000000,24723000000,14250000000,38973000000
SCCO,Southern Copper Corp,15104020,1096836,1,1325463720,34390770000,0.567645424,14287600000,147700000,41900000,189600000
DISH,DISH Network Corp,50201020,1097627,1,1715051344,15193978797,0.022265082,30587012000,24754416000,0,24754416000
RKT,Rocket Companies Inc,40202010,2191193,1,4638069764,44949262686,0.268095146,11553446000,3227514000,46984000,3274498000
WMB,Williams Companies Inc,10102040,1097810,1,-585429009.4,18284696280,0.274208008,45302000000,7767000000,0,7767000000
