"","Company","Ticker","SICS","ModelID","perform:OperatingRevenue","perform:CostRevenue","position:SellingGeneralAdministrative5yCapitalization","position:PropertyPlantEquipmentGross","position:OtherIntangibleAssets","position:LeaseContractCommitments","position:Goodwill","perform:ResearchDevelopmentExpenses","perform:FCF","value:MarketCap","Firm_Efficiency"
"1","Dell Technologies Inc","DELL","45202030",1097140,79040,58503,0,0,28265,2060,39920,4317,7662,52005.8,1
"2","Linde PLC","LIN","15101010",1097160,14836,9020,0,41937,16223,1300,26874,113,2099,77751.3529,0.2831
"3","Booking Holdings Inc","BKNG","25301030",1097171,14527,0,0,1349,2125,643,2910,0,4736,83692.67066,1
"4","Broadcom Inc","AVGO","45301020",1097174,20848,10095,0,4529,10762,650,26913,3768,9697,158866.6,0.6787
"5","Crown Castle International Corp","CCI","60101080",1097274,5370,1844,0,22216,5516,11195,10078,0,1386,69724.15,0.0507
"6","Facebook Inc","FB","45102030",1097288,55838,9355,0,31573,1294,14651,18301,10273,14214,778826.23,1
"7","Caterpillar Inc.","CAT","20106010",1097295,54722,36815,0,29781,1897,772,6217,1850,2610,87937.974,0.9436
"8","Micron Technology  Inc.","MU","45301020",1097307,30391,12500,0,49091,331,616,1228,2141,8925,58893.68,0.9713
"9","Microsoft Corporation","MSFT","45103020",1097314,110360,38353,0,65369,8053,6967,35683,14726,51461,1655913.24,1
"10","Morgan Stanley","MS","40203020",1097316,50193,12479,0,0,2163,5637,6688,0,4618,82137.88,1
"11","Merck & Co.  Inc.","MRK","35202010",1097319,42294,13065,0,29615,11431,997,18253,7854,8256,218713.56,0.9296
"12","Altria Group Inc","MO","30203010",1097322,25364,12898,0,4950,12279,182,5196,252,9270,73480.96,1
"13","Monster Beverage Corp","MNST","30201030",1097323,3807,1568,0,417,1045,27,1331,0,1102,367803.32736,1
"14","3M Co","MMM","20105010",1097324,32765,16657,0,24873,2657,1111,10051,1816,5376,95591.58,0.6869
"15","Marsh & McLennan Companies  Inc.","MMC","40301030",1097325,14950,0,0,2543,1437,2071,9599,0,2051,58371.53,0.6952
"16","Johnson & Johnson","JNJ","35202010",1097337,81581,26986,0,41851,47611,896,30453,10775,20772,401992.084,1
"17","Regeneron Pharmaceuticals Inc","REGN","35201010",1097353,6710,434,0,3304,0,25,0,2186,1824,65222.472,1
"18","Paypal Holdings Inc","PYPL","45102030",1097362,15451,8337,0,5907,825,664,6284,1071,3510,236918.82,0.5595
"19","Philip Morris International Inc.","PM","30203010",1097376,29625,10758,0,14557,2278,772,7189,383,8673,115287.7,0.9167
"20","Procter & Gamble Co","PG","30302010",1097383,66832,33613,0,41847,23902,1338,45175,1908,14616,369918.908,0.9385
"21","Boston Scientific Corporation","BSX","35101010",1097394,9823,2836,0,4740,6372,362,7911,1113,237,53841.788,0.5842
"22","Bristol-Myers Squibb Co","BMY","35202010",1097399,22561,6436,0,8845,1091,663,6538,5052,6615,97925.34,0.9003
"23","BlackRock  Inc.","BLK","40203010",1097403,14198,2673,0,1393,17839,2157,13526,0,4732,91972.3032543,0.5187
"24","Biogen Inc","BIIB","35202010",1097405,13452,1816,0,5398,3120,601,5706,2597,5551,58627.521,0.6519
