"","Company","Ticker","SICS","ModelID","perform:OperatingRevenue","perform:CostRevenue","position:SellingGeneralAdministrative5yCapitalization","position:PropertyPlantEquipmentGross","position:OtherIntangibleAssets","position:LeaseContractCommitments","position:Goodwill","perform:ResearchDevelopmentExpenses","perform:FCF","value:MarketCap","Firm_Efficiency"
"1","Linde PLC","LIN","15101010",1097160,11358,6382,0,25291,785,583,3233,93,1623,67276.8278,0.3808
"2","Booking Holdings Inc","BKNG","25301030",1097171,12681,242,0,1023,2176,757,2737,0,5739,87068.82292,1
"3","Broadcom Inc","AVGO","45301020",1097174,17636,9108,0,4092,10832,745,24706,3302,5990,155180.6,0.428
"4","Advanced Micro Devices  Inc.","AMD","45301020",1097264,5253,3466,0,1001,239,255,289,1196,3505,80786.72,0.3838
"5","Crown Castle International Corp","CCI","60101080",1097274,4255,1543,0,20433,5961,11059,10021,0,1419,64347.83,0.0451
"6","FedEx Corporation","FDX","20301010",1097283,60319,16403,0,50626,529,17874,7154,0,454,68601.6,1
"7","Facebook Inc","FB","45102030",1097288,40653,5454,0,18337,1884,4644,18221,7754,19331,788158.28,1
"8","Caterpillar Inc.","CAT","20106010",1097295,45462,31087,0,31538,2111,758,6200,1842,4868,87923.303,0.7305
"9","Micron Technology  Inc.","MU","45301020",1097307,20322,11886,0,41533,387,154,1228,1824,3962,55299.68,0.8697
"10","Microsoft Corporation","MSFT","45103020",1097314,96571,34261,0,54468,10106,7872,35122,12292,34905,1663986.72,1
"11","Merck & Co.  Inc.","MRK","35202010",1097319,40122,12640,0,29041,14183,852,18284,7495,4834,224346.72,0.8038
"12","Altria Group Inc","MO","30203010",1097322,25576,13563,0,4879,12400,192,5307,241,5419,74765.32,0.9795
"13","Monster Beverage Corp","MNST","30201030",1097323,3369,1283,0,369,1034,16,1331,0,888,376203.58944,0.8389
"14","3M Co","MMM","20105010",1097324,31657,15976,0,24914,2936,1098,10513,1862,6403,97290.633,0.5473
"15","Marsh & McLennan Companies  Inc.","MMC","40301030",1097325,14024,0,0,2538,1274,2057,9089,0,1749,59285.37,1
"16","Johnson & Johnson","JNJ","35202010",1097337,76450,25351,0,41466,53228,839,31906,10594,29267,404437.596,1
"17","Regeneron Pharmaceuticals Inc","REGN","35201010",1097353,5872,397,0,2924,0,21,0,2075,843,65878.10556,1
"18","QUALCOMM  Inc.","QCOM","45301020",1097361,22258,9792,0,7419,3737,445,6623,5485,5952,178084.8,0.6857
"19","Paypal Holdings Inc","PYPL","45102030",1097362,13094,6794,0,5158,168,555,4339,953,2279,240463.74,0.6018
"20","Philip Morris International Inc.","PM","30203010",1097376,28748,10432,0,14566,2432,849,7666,453,10160,115139.42,0.7205
"21","Procter & Gamble Co","PG","30302010",1097383,65058,31942,0,40148,24187,1493,44699,1874,11162,381573.296,0.7985
"22","Boston Scientific Corporation","BSX","35101010",1097394,9048,2616,0,4625,5837,318,6998,997,2118,53507.534,0.3379
"23","Bristol-Myers Squibb Co","BMY","35202010",1097399,20776,5917,0,8987,1210,793,6863,4823,6524,98822.64,0.6863
"24","BlackRock  Inc.","BLK","40203010",1097403,13600,2558,0,1250,17389,2206,13220,0,4205,93372.9453664,0.5034
"25","Biogen Inc","BIIB","35202010",1097405,12273,1630,0,4741,3879,617,4632,2253,3601,60826.41,0.4707
"26","Becton Dickinson and Co","BDX","35101020",1097410,12093,6128,0,9389,5893,276,7563,770,2217,51615.2898,0.4357
"27","Boeing Co","BA","20101010",1097416,94005,76612,0,30313,2573,1367,5559,3179,9913,102394.6,0.8209
"28","American Express Company","AXP","40202010",1097420,37657,10858,0,9784,899,1313,3009,0,11457,89778.38,1
