"","Company","Ticker","SICS","ModelID","perform:OperatingRevenue","perform:CostRevenue","position:SellingGeneralAdministrative5yCapitalization","position:PropertyPlantEquipmentGross","position:OtherIntangibleAssets","position:LeaseContractCommitments","position:Goodwill","perform:ResearchDevelopmentExpenses","perform:FCF","value:MarketCap","Firm_Efficiency","Satisfied_Constraint"
"1","Yum China Holdings Inc","YUMC","25301040",1093727,9803,5399,8252,5567,95,1,259,0,1021,24993.3366816455,0.666,"Yes"
"2","DHT Holdings Inc","DHT","10102040",1095889,323,151,39,2071,0,0,0,0,289,1143.65661078646,0,"No"
"3","SFL Corporation Ltd","SFL","10102040",1095890,439,141,29,965,0,0,0,0,139,644.17732445817,0,"No"
"4","Golar LNG Limited (USA)","GLNG","10102040",1095936,387,112,142,0,0,16,0,2,-198,1012.7999758188,0,"No"
"5","Cimpress PLC","CMPR","20201010",1096044,2601,1312,2458,1110,294,149,651,255,357,2458.55463173104,0.0011,"Yes"
"6","Globant SA","GLOB","45102010",1096210,1020,618,428,234,30,11,214,0,92,7312.88465096585,2e-04,"Yes"
"7","International Game Technology PLC","IGT","25301010",1096282,4284,2688,2465,3884,1591,307,4725,221,1615,3789.8490331169,0.0022,"Yes"
"8","Ashland Global Holdings Inc.","ASH","15101050",1096546,2435,1579,1121,2913,1160,79,2390,62,353,4674.18634731184,0.0021,"Yes"
"9","Asbury Automotive Group  Inc.","ABG","25504050",1096547,8794,7332,2333,1386,73,111,202,0,-32,2736.59616355971,0.4817,"Yes"
"10","Apogee Enterprises Inc","APOG","20102010",1096548,1268,975,622,764,152,38,201,0,109,771.9080633004,8e-04,"Yes"
"11","BorgWarner Inc.","BWA","25101010",1096622,14608,11819,1475,5407,451,41,1903,611,501,9183.90472546663,0.6165,"Yes"
"12","Parsley Energy Inc","PE","10102020",1096636,1948,299,581,11510,0,223,0,101,657,5624.10330446697,0.0027,"No"
"13","Alaska Air Group  Inc.","ALK","20302010",1096637,6003,2980,7127,12588,127,163,2035,0,109,5282.87432426913,0.1069,"Yes"
"14","Southern Copper Corp","SCCO","15104020",1096836,8641,4598,407,18595,106,688,41,32,1707,45850.45383864,0.3365,"Yes"
"15","Element Solutions Inc","ESI","15101050",1097136,1923,1047,1070,13,-1602,81,-3414,30,300,3803.69376401674,1,"Yes"
"16","Covetrus Inc","CVET","35101020",1097137,4478,3644,1773,269,668,72,1198,0,173,3503.23639347474,0.0032,"Yes"
"17","Capri Holdings Ltd","CPRI","25504010",1097139,4027,1511,6090,3496,2372,1125,1777,0,439,6051.34051802568,8e-04,"Yes"
"18","Dell Technologies Inc","DELL","45202030",1097140,92659,61813,54669,16407,18453,1334,42488,4971,510,55055.4411088,0.8538,"Yes"
"19","Kosmos Energy Ltd","KOS","10102020",1097141,1146,310,304,6122,0,18,0,131,-194,1576.3249769344,9e-04,"No"
"20","Spirit Realty Capital Inc","SRC","60101040",1097142,494,15,150,5716,294,14,225,0,-836,4064.53773509011,0,"Yes"
"21","SolarWinds Corp","SWI","45103020",1097144,1127,372,1152,139,1565,103,6032,178,324,7546.22179169464,2e-04,"Yes"
"22","Equitrans Midstream Corp","ETRN","10102040",1097145,1513,129,329,6916,584,68,1258,0,250,4054.38360348481,0.0026,"No"
"23","Elanco Animal Health Inc","ELAN","35202010",1097146,4507,1983,2405,2057,2632,88,3174,390,145,13689.9153625812,0.0024,"Yes"
"24","Sensata Technologies Holding PLC","ST","45203010",1097147,3407,2261,846,1808,827,78,2840,147,533,7821.65916583444,0.0047,"Yes"
"25","Lions Gate Entertainment Corp. (USA)","LGF.A","50202010",1097148,3134,1717,3924,449,2439,127,2135,0,1881,2093.25696012,9e-04,"Yes"
"26","Wyndham Hotels & Resorts Inc","WH","25301020",1097149,1637,840,1044,790,2719,11,2117,0,327,5437.50958847751,0.001,"Yes"
"27","Twilio Inc","TWLO","45103020",1097150,2201,984,1229,68,0,291,-1,600,230,57033.9593354905,0.0016,"Yes"
"28","Spectrum Brands Holdings Inc","SPB","25201040",1097151,4140,2689,2804,449,289,63,256,46,781,3137.42303383673,0.0018,"Yes"
